id,name,original_price,discount_price,image,rating,description,category,total_reviews,total_likes,total_orders,is_disabled,images,restaurant,is_liked
000c55b7-cae1-43e9-9b33-b8e660be6143,Goi Cuon easy enough,39.65,32.91,http://127.0.0.1:8000/images/food/goi_cuon/1467569.jpg,0.0,"Education pretty woman sense whose kind site power. Tree raise one religious.
Hit already window down drop. Shake director ask build act.","{'id': 'feced330-eb3b-468c-ad23-7bfc9b4ce038', 'name': 'Goi Cuon', 'description': 'notThan again degree life half eye. Theory city building authority week collection sea. Big discover ground everybody.', 'created_at': '2024-10-10T17:00:41.296158+07:00', 'updated_at': '2024-10-10T17:00:41.296158+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/goi_cuon.png'}",0,25,4,False,[],9c31278a-06cf-45f1-8965-fb033bb1b38f,False
00415927-1922-4df0-9ce6-3fa89665f219,Rice against family,51.37,24.88,http://127.0.0.1:8000/images/food/rice/1185768.jpg,5.0,"Lot city end treat image hand. Another others detail address table Democrat sister. Center teach must party.
Guy different improve stop herself for. Lead figure detail difference none she study.","{'id': 'da9706e0-5852-4413-8f16-ddd72fce6d29', 'name': 'Rice', 'description': 'classTelevision whatever face true relationship. Least everything pick box hit save yet.\nCold foot newspaper bar red stop. Member nor imagine bed deal successful.', 'created_at': '2024-10-10T17:00:41.287159+07:00', 'updated_at': '2024-10-10T17:00:41.287159+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/rice.png'}",1,1,20,False,[],9c31278a-06cf-45f1-8965-fb033bb1b38f,False
004cfbbc-2070-4026-bb1f-c181a96d43ce,Ice Cream debate quickly,65.48,39.95,http://127.0.0.1:8000/images/food/ice_cream/857808.jpg,0.0,"Manage leader hope method type word bag. Agency article wear. Foreign newspaper baby.
Work recent find develop rock during prove particular. Floor at half assume.","{'id': 'cf6ca541-2882-4005-81d3-b031b25d63cf', 'name': 'Ice Cream', 'description': 'prepareJust start do activity reflect shoulder. Former attack full plant region yet similar care.', 'created_at': '2024-10-10T17:00:41.286196+07:00', 'updated_at': '2024-10-10T17:00:41.286196+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/ice_cream.png'}",0,50,0,False,[],f3670cf5-a54f-4fb3-bc0d-4fad71ec9b10,False
004f2ee3-4a3f-4be0-ac1e-a4cd29fe98e1,Banh Mi political certainly,32.70,24.00,http://127.0.0.1:8000/images/food/banh_mi/2645959.jpg,0.0,"Be create part from picture mind life site. Prepare election top benefit nature night. Challenge style writer anything involve.
Stand experience put into true military. Bag look themselves across.","{'id': 'c43b1404-2c54-4b36-8c17-f4c027cb6351', 'name': 'Banh Mi', 'description': 'trialHalf bad cut. Likely Mrs affect art.\nCover serious light week leave. Plant according behavior front various road sure. See return one sure good current.', 'created_at': '2024-10-10T17:00:41.301408+07:00', 'updated_at': '2024-10-10T17:00:41.301408+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/banh_mi.png'}",0,11,0,False,[],cd8b6d0a-1082-4918-85ad-a0fe0d6a4199,False
0055912f-6a01-47f9-93c8-7ea46177bf9b,Burger writer unit,24.66,15.77,http://127.0.0.1:8000/images/food/burger/42335.jpg,0.0,Son wide need drug water phone painting task. Whom thing make leader reason technology country trade. Meeting politics fire part arrive.,"{'id': '642ba0a3-a703-435e-aaef-27dde8ab87d7', 'name': 'Burger', 'description': 'thisSchool visit style someone. Do strategy daughter politics within worry.\nHome seem never series. Assume western amount American.', 'created_at': '2024-10-10T17:00:41.268778+07:00', 'updated_at': '2024-10-10T17:00:41.268778+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/burger.png'}",0,31,0,False,[],23f1699d-8c47-4b1d-b471-b725bea65a13,False
006786b3-9e26-43f7-a454-61d91471e10e,Banh Mi laugh full,28.23,5.93,http://127.0.0.1:8000/images/food/banh_mi/2222753.jpg,0.0,Institution fear commercial war reality. Interesting school work year thousand suffer. Science kind order task.,"{'id': 'c43b1404-2c54-4b36-8c17-f4c027cb6351', 'name': 'Banh Mi', 'description': 'trialHalf bad cut. Likely Mrs affect art.\nCover serious light week leave. Plant according behavior front various road sure. See return one sure good current.', 'created_at': '2024-10-10T17:00:41.301408+07:00', 'updated_at': '2024-10-10T17:00:41.301408+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/banh_mi.png'}",0,30,0,False,[],e668e145-a811-4bab-ae1b-3c35961374f8,False
0086f834-f454-4419-843e-53264f622e9b,Donut value word,51.68,30.23,http://127.0.0.1:8000/images/food/donut/2337140.jpg,0.0,"Green song me year. A under along heavy look market. Positive growth guess television serve long poor.
Live state along hear class. Read case various some.","{'id': '9b5e57f6-f8ba-4e03-9e1c-d09cd6fd53e9', 'name': 'Donut', 'description': 'specificBill deal conference dark leg. Traditional whether material put even some.\nMight responsibility agree he bad. Meeting end huge truth. Free professor way mission myself reveal benefit.', 'created_at': '2024-10-10T17:00:41.278779+07:00', 'updated_at': '2024-10-10T17:00:41.278779+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/donut.png'}",0,12,14,False,[],17ce3c38-bd8d-408a-904c-716f3422ea44,False
00a79e4e-8555-4c58-95e7-c7e06bea6877,Goi Cuon police police,43.89,37.01,http://127.0.0.1:8000/images/food/goi_cuon/202247.jpg,1.0,"Third personal project guy parent. Against whether day.
Senior day fear project wrong impact number. Somebody improve option doctor. Bill modern condition forget.","{'id': 'feced330-eb3b-468c-ad23-7bfc9b4ce038', 'name': 'Goi Cuon', 'description': 'notThan again degree life half eye. Theory city building authority week collection sea. Big discover ground everybody.', 'created_at': '2024-10-10T17:00:41.296158+07:00', 'updated_at': '2024-10-10T17:00:41.296158+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/goi_cuon.png'}",1,44,10,False,[],7d002597-b96c-4ded-9c3c-7fa616274d9d,False
00e9c3c8-26bb-40d8-be44-4593f9d4d1b2,Cookie research fight,47.34,21.00,http://127.0.0.1:8000/images/food/cookie/2395818.jpg,0.0,Indicate beyond fund focus father yes. Its piece million modern nature president.,"{'id': 'e120bc73-077c-4e96-8f1b-4cf33e311cba', 'name': 'Cookie', 'description': 'tellAccount hit smile. Seek ground key prepare group.\nExample eye notice. Other represent share ask pass.', 'created_at': '2024-10-10T17:00:41.298382+07:00', 'updated_at': '2024-10-10T17:00:41.298382+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/cookie.png'}",0,35,10,False,[],d1f90bb8-7901-403d-91cd-a89f3d9e60ab,False
010688ab-9cc7-476e-90de-58bafd0469bc,Pudding sister performance,33.83,5.51,http://127.0.0.1:8000/images/food/pudding/2945251.jpg,3.0,"Need thing stop understand source sign. Relate onto accept side magazine quickly pretty.
Peace learn generation study accept save little. Phone task I. Reality too campaign because.","{'id': 'e5ca6ea0-0409-492b-b5d8-bea8e5a3e221', 'name': 'Pudding', 'description': 'outsideThree wrong health say. Meeting bar account economy table probably everybody speak. Nation new maintain let history something.', 'created_at': '2024-10-10T17:00:41.299399+07:00', 'updated_at': '2024-10-10T17:00:41.299399+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/pudding.png'}",1,29,5,False,[],2e143ac4-5486-40e3-8807-18efbb8ac3fc,False
